brand,product_name,price,growth,sales,quantity
Dyson,Supersonic HD07,32990,15.2,4500000,180
Dyson,Airwrap Complete,28990,12.8,3800000,150
Xiaomi,Mi Smart Hair Dryer H500,4990,8.5,1200000,420
Xiaomi,Mi Electric Hair Dryer,2990,5.2,850000,580
Philips,HP8233/00,3490,3.1,620000,320
Philips,BHD828/00,7990,9.4,1100000,210
Braun,Satin Hair 7 SensoTouch,6990,7.8,980000,195
Braun,HD585 Satin Hair 5,3990,2.5,480000,240
Remington,D5210 Pro-Stylist,2490,1.8,320000,280
Remington,HC5855 Fast Style,1990,-2.3,280000,310
Dyson,Corrale HS03,27990,18.5,5200000,120
Valera,Swiss Silent 6000,8990,6.2,750000,145
Valera,Metropolitan 5400,5490,4.1,520000,175
Babyliss,Portissimo 2000,4290,0.8,380000,190
Babyliss,iPro 2300,5990,5.5,680000,210
Dyson,Supersonic Gen 2,34990,22.1,6800000,95
Parlux,Advance Light,8990,8.9,920000,155
Parlux,Allyneed 3800,6990,6.7,780000,180
Revlon,One-Step Hair Dryer Volumizer,3990,11.2,890000,380
Revlon,Pro Collection 1875W,2990,0.5,250000,290
Conair,Infiniti Pro 1875W,3490,4.3,580000,310
Conair,Tourmaline Ceramic 2200,2490,-1.2,220000,280
T3,Cura Luxe,12990,14.8,2100000,165
T3,Softstyle 2i,9990,10.5,1450000,190
Ghd,Air 452/02,12990,9.1,1680000,205
Ghd,Helios 102/21,11990,11.3,1890000,215
Laifen,Swift Premium,6990,25.6,3200000,480
Laifen,SE Special Edition,4990,18.9,2100000,550
Shark,FlexStyle Air Styling System,11990,16.4,2400000,310
Shark,HyperAir Hair Dryer,8990,13.2,1850000,320
Dyson,Airwrap HS01,24990,10.2,2900000,175
BaByliss,BABDT3030EPC,5490,3.8,620000,225
BaByliss,PRODIGY 5000E,7490,7.5,890000,195
Remington,Protector Thermal,3290,2.1,420000,310
Remington,Keratin Control S8510,2790,-0.8,280000,295
Panasonic,EH-NA98,7990,6.8,980000,210
Panasonic,EH-NA65,4990,4.2,680000,265
Solis,Swiss Line Pro 6000,9490,8.7,1050000,165
Solis,Superinox 5431,6490,5.9,780000,190
Ga.Ma,Italy Professional Turbo,4490,1.5,420000,295
Ga.Ma,Laser ION Tech 4.0,3490,-1.8,320000,285
Dyson,Vacuum V15 Detect,49990,19.5,8900000,85
Dyson,Lightcycle Morph,29990,14.2,5200000,120
